date,year,month,quarter,period,visitor_arrivals,visitor_arrivals_china,china_share,china_share_pct,hotel_occ,avg_stay_monthly,avg_stay_monthly_capped,hotel_occ_level_tertile,hotel_occ_level_business,dataset_split
2016-12-01,2016,12,4,pre_covid,1506134.0,226020.0,0.15006632875959244,15.006632875959244,79.61206621,3.21434604,3.21434604,medium,medium,train
2017-01-01,2017,1,1,pre_covid,1480479.0,316805.0,0.2139881754486217,21.39881754486217,81.76737245,3.51735288,3.51735288,medium,medium,train
2017-02-01,2017,2,1,pre_covid,1361010.0,268993.0,0.19764219219550186,19.764219219550185,88.02774566,3.42351625,3.42351625,high,high,train
2017-03-01,2017,3,1,pre_covid,1480161.0,264711.0,0.17883932896488963,17.883932896488965,84.67200801,3.15055147,3.15055147,high,medium,train
2017-04-01,2017,4,2,pre_covid,1470750.0,252135.0,0.1714329423763386,17.14329423763386,85.06826334,3.28076748,3.28076748,high,high,train
2017-05-01,2017,5,2,pre_covid,1363897.0,232361.0,0.17036550413997537,17.036550413997535,82.27882297,3.54908271,3.54908271,medium,medium,train
2017-06-01,2017,6,2,pre_covid,1387601.0,218118.0,0.15719071981066604,15.719071981066604,83.7548828,3.627402,3.627402,medium,medium,train
2017-07-01,2017,7,3,pre_covid,1632135.0,349654.0,0.2142310531910657,21.42310531910657,91.53710721,3.50191372,3.50191372,high,high,train
2017-08-01,2017,8,3,pre_covid,1559283.0,357287.0,0.22913544237960654,22.913544237960654,89.35634524,3.53168791,3.53168791,high,high,train
2017-09-01,2017,9,3,pre_covid,1320050.0,226978.0,0.17194651717737963,17.194651717737962,84.33686469,3.3320192,3.3320192,high,medium,train
2017-10-01,2017,10,4,pre_covid,1402299.0,245755.0,0.1752514977191027,17.52514977191027,83.12943322,3.24726355,3.24726355,medium,medium,train
2017-11-01,2017,11,4,pre_covid,1397330.0,251096.0,0.17969699355198843,17.96969935519884,85.17217876,3.09550355,3.09550355,high,high,train
2017-12-01,2017,12,4,pre_covid,1569616.0,244241.0,0.155605574866719,15.5605574866719,79.64258954,3.2243555,3.2243555,medium,medium,train
2018-01-01,2018,1,1,pre_covid,1563359.0,291208.0,0.1862707158112756,18.62707158112756,83.4206083,3.3733835,3.3733835,medium,medium,train
2018-02-01,2018,2,1,pre_covid,1491970.0,366616.0,0.24572612049840145,24.572612049840146,87.99437558,3.34971865,3.34971865,high,high,train
2018-03-01,2018,3,1,pre_covid,1584406.0,274879.0,0.17349025439186674,17.349025439186676,87.20196257,3.20436545,3.20436545,high,high,train
2018-04-01,2018,4,2,pre_covid,1544248.0,291119.0,0.1885182949888878,18.85182949888878,85.23803395,3.20647151,3.20647151,high,high,train
2018-05-01,2018,5,2,pre_covid,1470891.0,264802.0,0.18002829577446594,18.002829577446594,82.56325906,3.48318485,3.48318485,medium,medium,train
2018-06-01,2018,6,2,pre_covid,1544679.0,242118.0,0.15674324568405473,15.674324568405474,85.46062713,3.55849021,3.55849021,high,high,train
