date,avg_stay_monthly,hotel_occ,spend_per_capita,tourism_receipts,avg_stay_annual,visitor_arrivals,visitor_arrivals_china,year,month,quarter,period,china_share,avg_stay_monthly_capped,visitor_arrivals_millions,visitor_arrivals_china_thousands,china_share_pct
2016-12-01,3.21434604,79.61206621,1569.69727502,25748.45233567,3.42985924,1506134.0,226020.0,2016,12,4,pre_covid,0.15006632875959244,3.21434604,1.506134,226.02,15.006632875959244
2017-01-01,3.51735288,81.76737245,,,,1480479.0,316805.0,2017,1,1,pre_covid,0.2139881754486217,3.51735288,1.480479,316.805,21.39881754486217
2017-02-01,3.42351625,88.02774566,,,,1361010.0,268993.0,2017,2,1,pre_covid,0.19764219219550186,3.42351625,1.36101,268.993,19.764219219550185
2017-03-01,3.15055147,84.67200801,,,,1480161.0,264711.0,2017,3,1,pre_covid,0.17883932896488963,3.15055147,1.480161,264.711,17.883932896488965
2017-04-01,3.28076748,85.06826334,,,,1470750.0,252135.0,2017,4,2,pre_covid,0.1714329423763386,3.28076748,1.47075,252.135,17.14329423763386
2017-05-01,3.54908271,82.27882297,,,,1363897.0,232361.0,2017,5,2,pre_covid,0.17036550413997537,3.54908271,1.363897,232.361,17.036550413997535
2017-06-01,3.627402,83.7548828,,,,1387601.0,218118.0,2017,6,2,pre_covid,0.15719071981066604,3.627402,1.387601,218.118,15.719071981066604
2017-07-01,3.50191372,91.53710721,,,,1632135.0,349654.0,2017,7,3,pre_covid,0.2142310531910657,3.50191372,1.632135,349.654,21.42310531910657
2017-08-01,3.53168791,89.35634524,,,,1559283.0,357287.0,2017,8,3,pre_covid,0.22913544237960654,3.53168791,1.559283,357.287,22.913544237960654
2017-09-01,3.3320192,84.33686469,,,,1320050.0,226978.0,2017,9,3,pre_covid,0.17194651717737963,3.3320192,1.32005,226.978,17.194651717737962
2017-10-01,3.24726355,83.12943322,,,,1402299.0,245755.0,2017,10,4,pre_covid,0.1752514977191027,3.24726355,1.402299,245.755,17.52514977191027
2017-11-01,3.09550355,85.17217876,,,,1397330.0,251096.0,2017,11,4,pre_covid,0.17969699355198843,3.09550355,1.39733,251.096,17.96969935519884
2017-12-01,3.2243555,79.64258954,1538.62844341,26807.30642286,3.37586597,1569616.0,244241.0,2017,12,4,pre_covid,0.155605574866719,3.2243555,1.569616,244.241,15.5605574866719
2018-01-01,3.3733835,83.4206083,,,,1563359.0,291208.0,2018,1,1,pre_covid,0.1862707158112756,3.3733835,1.563359,291.208,18.62707158112756
2018-02-01,3.34971865,87.99437558,,,,1491970.0,366616.0,2018,2,1,pre_covid,0.24572612049840145,3.34971865,1.49197,366.616,24.572612049840146
2018-03-01,3.20436545,87.20196257,,,,1584406.0,274879.0,2018,3,1,pre_covid,0.17349025439186674,3.20436545,1.584406,274.879,17.349025439186676
